"lsoa11cd","date","lsoa11nm","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01006512",2011,"Liverpool 031A",1666,38,5,23,50,7,1,148,9,12,216,4,1153
"E01006513",2011,"Liverpool 060A",2853,66,10,80,86,11,4,201,40,14,535,5,1801
"E01006514",2011,"Liverpool 037A",1955,89,7,69,91,9,1,186,32,21,415,6,1029
"E01006515",2011,"Liverpool 037B",921,24,3,37,69,3,3,116,15,12,196,4,439
"E01006518",2011,"Liverpool 044A",1229,34,2,18,151,7,2,189,31,11,114,3,667
"E01006519",2011,"Liverpool 056A",949,64,17,91,39,3,5,341,22,19,36,6,306
"E01006520",2011,"Liverpool 043A",1523,72,22,86,163,5,3,495,46,68,81,8,474
"E01006521",2011,"Liverpool 052A",1256,78,4,42,113,1,4,470,23,22,38,4,457
"E01006522",2011,"Liverpool 048A",1564,81,15,94,157,9,2,472,40,56,89,12,537
"E01006523",2011,"Liverpool 052B",1242,53,17,66,137,2,5,412,31,32,54,3,430
"E01006524",2011,"Liverpool 048B",2033,67,6,58,102,5,3,415,36,13,54,8,1266
"E01006525",2011,"Liverpool 049A",942,65,3,63,50,2,2,366,34,15,35,3,304
"E01006526",2011,"Liverpool 048C",1029,67,3,39,109,4,3,392,24,13,42,2,331
"E01006527",2011,"Liverpool 053A",1103,52,3,42,99,10,3,352,28,16,49,4,445
"E01006528",2011,"Liverpool 052C",1157,45,9,32,145,9,2,413,36,29,36,4,397
"E01006529",2011,"Liverpool 048D",1007,34,4,38,118,6,3,402,34,23,45,2,298
"E01006530",2011,"Liverpool 055A",1005,40,2,44,61,3,0,407,37,16,35,3,357
"E01006531",2011,"Liverpool 055B",997,33,5,42,46,2,2,362,35,7,28,8,427
"E01006532",2011,"Liverpool 047A",1132,77,8,20,31,2,3,519,35,13,15,6,403
"E01006533",2011,"Liverpool 055C",992,42,4,44,43,5,0,358,35,11,35,4,411
"E01006534",2011,"Liverpool 054A",1158,45,1,55,105,7,1,392,53,9,30,11,449
"E01006535",2011,"Liverpool 054B",1222,42,10,66,95,6,2,427,39,20,28,4,483
"E01006536",2011,"Liverpool 054C",1386,37,10,81,142,10,6,368,40,13,63,5,611
"E01006537",2011,"Liverpool 055D",1728,68,8,111,102,20,6,578,65,36,158,15,561
"E01006538",2011,"Liverpool 055E",972,32,2,78,47,6,2,367,35,17,50,7,329
"E01006539",2011,"Liverpool 047B",1117,89,2,15,61,1,3,479,28,13,37,4,385
"E01006540",2011,"Liverpool 024A",1139,21,2,8,154,7,3,168,40,7,76,1,652
