"lsoa11cd","date","lsoa11nm","Rural Urban","Year of Arrival: All categories: Year of arrival in the UK; measures: Value","Year of Arrival: Born in the UK; measures: Value","Year of Arrival: Arrived before 1941; measures: Value","Year of Arrival: Arrived 1941-1950; measures: Value","Year of Arrival: Arrived 1951-1960; measures: Value","Year of Arrival: Arrived 1961-1970; measures: Value","Year of Arrival: Arrived 1971-1980; measures: Value","Year of Arrival: Arrived 1981-1990; measures: Value","Year of Arrival: Arrived 1991-2000; measures: Value","Year of Arrival: Arrived 2001-2003; measures: Value","Year of Arrival: Arrived 2004-2006; measures: Value","Year of Arrival: Arrived 2007-2009; measures: Value","Year of Arrival: Arrived 2010-2011; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,766,1,0,4,7,10,24,64,52,85,302,565
"E01006513",2011,"Liverpool 060A","Total",2941,2033,0,2,4,4,2,13,42,30,47,291,473
"E01006514",2011,"Liverpool 037A","Total",2108,1632,0,6,11,17,11,14,58,33,52,140,134
"E01006515",2011,"Liverpool 037B","Total",1208,910,1,1,11,25,20,33,52,36,42,53,24
"E01006518",2011,"Liverpool 044A","Total",1696,1468,2,1,10,6,6,9,48,38,26,57,25
"E01006519",2011,"Liverpool 056A","Total",1286,1205,0,4,7,12,5,7,8,7,16,13,2
"E01006520",2011,"Liverpool 043A","Total",1706,1470,1,3,4,9,10,23,44,24,44,48,26
"E01006521",2011,"Liverpool 052A","Total",1660,1474,4,8,10,17,17,13,27,24,30,30,6
"E01006522",2011,"Liverpool 048A","Total",1731,1546,0,1,4,14,4,16,41,19,24,44,18
"E01006523",2011,"Liverpool 052B","Total",1508,1362,1,6,5,5,7,16,21,18,33,19,15
"E01006524",2011,"Liverpool 048B","Total",2431,2152,3,4,9,4,13,13,46,22,40,51,74
"E01006525",2011,"Liverpool 049A","Total",1209,1141,1,6,4,12,7,15,5,2,4,4,8
"E01006526",2011,"Liverpool 048C","Total",1404,1334,2,2,4,4,6,9,9,6,6,16,6
"E01006527",2011,"Liverpool 053A","Total",1454,1371,1,2,6,7,13,11,14,2,6,15,6
"E01006528",2011,"Liverpool 052C","Total",1461,1305,2,2,3,12,17,12,20,25,26,26,11
"E01006529",2011,"Liverpool 048D","Total",1304,1217,1,1,1,5,11,10,13,13,9,16,7
"E01006530",2011,"Liverpool 055A","Total",1431,1382,0,6,4,8,5,3,14,1,3,5,0
"E01006531",2011,"Liverpool 055B","Total",1458,1411,1,6,3,6,1,0,8,15,1,6,0
"E01006532",2011,"Liverpool 047A","Total",1557,1432,2,5,5,17,29,16,15,8,11,12,5
"E01006533",2011,"Liverpool 055C","Total",1408,1339,0,5,6,6,15,7,14,7,5,2,2
"E01006534",2011,"Liverpool 054A","Total",1542,1399,0,0,11,18,15,19,25,18,17,4,16
"E01006535",2011,"Liverpool 054B","Total",1639,1563,1,2,7,6,4,7,19,16,4,6,4
"E01006536",2011,"Liverpool 054C","Total",1848,1760,1,3,10,9,5,5,25,9,8,7,6
"E01006537",2011,"Liverpool 055D","Total",2257,2010,0,2,5,9,15,14,22,9,62,56,53
"E01006538",2011,"Liverpool 055E","Total",1318,1284,1,3,2,3,2,3,7,6,6,1,0
"E01006539",2011,"Liverpool 047B","Total",1437,1323,1,4,15,22,19,13,12,7,7,8,6
"E01006540",2011,"Liverpool 024A","Total",1509,1298,0,0,5,5,7,17,24,9,43,62,39
"E01006541",2011,"Liverpool 015A","Total",1593,1563,0,1,1,2,3,1,2,3,3,13,1
"E01006542",2011,"Liverpool 018A","Total",1397,1320,0,1,2,7,3,0,6,2,14,22,20
"E01006543",2011,"Liverpool 015B","Total",1247,1237,0,0,3,2,1,0,1,1,2,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,1615,0,2,2,8,3,2,3,8,6,8,1
"E01006545",2011,"Liverpool 019A","Total",1512,1469,0,3,2,4,3,0,1,7,12,10,1
"E01006546",2011,"Liverpool 019B","Total",1319,1260,0,3,3,1,3,3,10,9,15,9,3
"E01006547",2011,"Liverpool 019C","Total",1490,1352,0,2,5,12,7,5,23,10,29,33,12
"E01006548",2011,"Liverpool 019D","Total",1675,1526,1,2,2,6,2,12,17,15,42,33,17
"E01006549",2011,"Liverpool 043B","Total",1662,1261,0,0,11,12,18,19,87,57,81,83,33
"E01006550",2011,"Liverpool 038A","Total",1595,1447,0,5,2,9,6,9,32,23,14,35,13
"E01006551",2011,"Liverpool 048E","Total",1581,1389,0,3,8,15,5,11,32,18,27,35,38
"E01006552",2011,"Liverpool 039A","Total",2029,1253,0,0,10,17,21,29,123,104,183,206,83
"E01006553",2011,"Liverpool 042A","Total",1880,1697,0,0,5,7,5,14,26,22,23,60,21
"E01006554",2011,"Liverpool 048F","Total",1692,1458,1,2,13,14,15,16,41,24,52,43,13
"E01006556",2011,"Liverpool 039B","Total",2011,1230,0,4,26,24,33,27,111,117,218,163,58
"E01006557",2011,"Liverpool 038B","Total",2054,1780,2,5,5,11,15,20,51,25,41,74,25
