"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,766,82,26,9,19,8,86,123,456,160,137,8,0,0,0,0,0
"E01006513",2011,"Liverpool 060A","Total",2941,2033,26,12,7,16,9,80,184,404,110,50,7,0,3,0,0,0
"E01006514",2011,"Liverpool 037A","Total",2108,1632,24,10,9,24,7,13,51,139,113,64,10,1,10,0,0,1
"E01006515",2011,"Liverpool 037B","Total",1208,910,10,6,3,12,6,15,21,57,50,74,26,8,8,1,1,0
"E01006518",2011,"Liverpool 044A","Total",1696,1468,26,9,6,18,2,6,15,48,35,41,20,2,0,0,0,0
"E01006519",2011,"Liverpool 056A","Total",1286,1205,18,4,4,7,3,8,4,12,8,11,2,0,0,0,0,0
"E01006520",2011,"Liverpool 043A","Total",1706,1470,23,6,2,9,9,7,21,63,53,38,4,0,0,1,0,0
"E01006521",2011,"Liverpool 052A","Total",1660,1474,23,6,3,17,4,10,11,45,32,29,5,1,0,0,0,0
"E01006522",2011,"Liverpool 048A","Total",1731,1546,16,7,1,9,4,9,9,45,32,45,8,0,0,0,0,0
"E01006523",2011,"Liverpool 052B","Total",1508,1362,23,9,2,12,3,3,7,40,27,14,4,1,1,0,0,0
"E01006524",2011,"Liverpool 048B","Total",2431,2152,39,17,7,22,3,26,32,48,35,42,5,0,0,1,2,0
"E01006525",2011,"Liverpool 049A","Total",1209,1141,9,5,2,10,2,3,6,11,7,11,2,0,0,0,0,0
"E01006526",2011,"Liverpool 048C","Total",1404,1334,9,3,2,3,3,2,1,23,9,14,1,0,0,0,0,0
"E01006527",2011,"Liverpool 053A","Total",1454,1371,15,5,0,5,2,3,9,21,14,9,0,0,0,0,0,0
"E01006528",2011,"Liverpool 052C","Total",1461,1305,20,5,2,0,1,5,15,44,40,22,2,0,0,0,0,0
"E01006529",2011,"Liverpool 048D","Total",1304,1217,19,2,3,3,0,4,3,19,10,22,2,0,0,0,0,0
"E01006530",2011,"Liverpool 055A","Total",1431,1382,6,5,2,4,2,2,6,7,6,8,0,0,0,1,0,0
"E01006531",2011,"Liverpool 055B","Total",1458,1411,5,3,3,1,0,0,1,13,12,6,3,0,0,0,0,0
"E01006532",2011,"Liverpool 047A","Total",1557,1432,17,3,4,10,2,4,4,24,31,22,4,0,0,0,0,0
"E01006533",2011,"Liverpool 055C","Total",1408,1339,7,3,1,5,2,5,5,13,13,14,1,0,0,0,0,0
"E01006534",2011,"Liverpool 054A","Total",1542,1399,18,5,4,9,0,7,8,22,21,39,7,0,2,1,0,0
"E01006535",2011,"Liverpool 054B","Total",1639,1563,14,4,6,1,1,6,3,16,10,13,2,0,0,0,0,0
"E01006536",2011,"Liverpool 054C","Total",1848,1760,20,8,5,3,0,3,6,17,7,17,1,0,1,0,0,0
"E01006537",2011,"Liverpool 055D","Total",2257,2010,21,8,3,10,3,13,14,45,66,45,18,0,1,0,0,0
"E01006538",2011,"Liverpool 055E","Total",1318,1284,5,1,2,4,2,1,1,6,4,4,2,0,2,0,0,0
"E01006539",2011,"Liverpool 047B","Total",1437,1323,17,8,7,4,1,6,7,20,20,20,3,0,0,1,0,0
"E01006540",2011,"Liverpool 024A","Total",1509,1298,18,12,10,22,3,12,18,44,27,40,3,0,1,1,0,0
"E01006541",2011,"Liverpool 015A","Total",1593,1563,8,4,3,1,0,0,1,2,3,7,1,0,0,0,0,0
"E01006542",2011,"Liverpool 018A","Total",1397,1320,7,3,0,7,1,2,1,9,21,22,3,0,1,0,0,0
"E01006543",2011,"Liverpool 015B","Total",1247,1237,1,2,0,0,0,2,0,2,2,1,0,0,0,0,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,1615,10,0,1,3,0,2,6,10,6,3,2,0,0,0,0,0
"E01006545",2011,"Liverpool 019A","Total",1512,1469,3,4,0,2,1,2,5,12,6,6,2,0,0,0,0,0
"E01006546",2011,"Liverpool 019B","Total",1319,1260,8,4,3,4,0,3,4,13,7,12,1,0,0,0,0,0
"E01006547",2011,"Liverpool 019C","Total",1490,1352,14,3,0,12,10,7,8,26,23,29,3,0,1,2,0,0
"E01006548",2011,"Liverpool 019D","Total",1675,1526,21,8,7,13,2,5,3,36,17,29,7,1,0,0,0,0
