"lsoa11cd","date","lsoa11nm","Rural Urban","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E01006512",2011,"Liverpool 031A","Total",1880,766,679,220,103,112
"E01006513",2011,"Liverpool 060A","Total",2941,2033,607,177,57,67
"E01006514",2011,"Liverpool 037A","Total",2108,1632,182,108,62,124
"E01006515",2011,"Liverpool 037B","Total",1208,910,44,41,69,144
"E01006518",2011,"Liverpool 044A","Total",1696,1468,39,52,55,82
"E01006519",2011,"Liverpool 056A","Total",1286,1205,3,16,19,43
"E01006520",2011,"Liverpool 043A","Total",1706,1470,42,45,54,95
"E01006521",2011,"Liverpool 052A","Total",1660,1474,14,28,43,101
"E01006522",2011,"Liverpool 048A","Total",1731,1546,38,26,41,80
"E01006523",2011,"Liverpool 052B","Total",1508,1362,20,19,41,66
"E01006524",2011,"Liverpool 048B","Total",2431,2152,94,40,50,95
"E01006525",2011,"Liverpool 049A","Total",1209,1141,8,6,4,50
"E01006526",2011,"Liverpool 048C","Total",1404,1334,9,16,9,36
"E01006527",2011,"Liverpool 053A","Total",1454,1371,9,13,7,54
"E01006528",2011,"Liverpool 052C","Total",1461,1305,19,20,49,68
"E01006529",2011,"Liverpool 048D","Total",1304,1217,8,18,19,42
"E01006530",2011,"Liverpool 055A","Total",1431,1382,5,0,4,40
"E01006531",2011,"Liverpool 055B","Total",1458,1411,1,5,16,25
"E01006532",2011,"Liverpool 047A","Total",1557,1432,10,10,14,91
"E01006533",2011,"Liverpool 055C","Total",1408,1339,4,1,8,56
"E01006534",2011,"Liverpool 054A","Total",1542,1399,18,2,34,89
"E01006535",2011,"Liverpool 054B","Total",1639,1563,8,2,20,46
"E01006536",2011,"Liverpool 054C","Total",1848,1760,7,6,17,58
"E01006537",2011,"Liverpool 055D","Total",2257,2010,74,54,50,69
"E01006538",2011,"Liverpool 055E","Total",1318,1284,0,2,9,23
"E01006539",2011,"Liverpool 047B","Total",1437,1323,8,8,11,87
"E01006540",2011,"Liverpool 024A","Total",1509,1298,67,41,43,60
"E01006541",2011,"Liverpool 015A","Total",1593,1563,12,2,6,10
"E01006542",2011,"Liverpool 018A","Total",1397,1320,25,21,12,19
"E01006543",2011,"Liverpool 015B","Total",1247,1237,0,0,3,7
"E01006544",2011,"Liverpool 015C","Total",1658,1615,1,11,11,20
"E01006545",2011,"Liverpool 019A","Total",1512,1469,5,12,12,14
"E01006546",2011,"Liverpool 019B","Total",1319,1260,4,10,19,26
"E01006547",2011,"Liverpool 019C","Total",1490,1352,26,27,31,54
"E01006548",2011,"Liverpool 019D","Total",1675,1526,26,32,48,43
"E01006549",2011,"Liverpool 043B","Total",1662,1261,61,71,122,147
"E01006550",2011,"Liverpool 038A","Total",1595,1447,25,25,35,63
"E01006551",2011,"Liverpool 048E","Total",1581,1389,45,32,41,74
"E01006552",2011,"Liverpool 039A","Total",2029,1253,154,170,245,207
"E01006553",2011,"Liverpool 042A","Total",1880,1697,40,50,28,65
"E01006554",2011,"Liverpool 048F","Total",1692,1458,26,40,64,104
"E01006556",2011,"Liverpool 039B","Total",2011,1230,97,179,266,239
"E01006557",2011,"Liverpool 038B","Total",2054,1780,50,65,48,111
"E01006558",2011,"Liverpool 018B","Total",1357,1288,8,19,20,22
"E01006560",2011,"Liverpool 023A","Total",1860,1751,14,16,38,41
"E01006562",2011,"Liverpool 018E","Total",1514,1402,21,31,26,34
"E01006563",2011,"Liverpool 024B","Total",1744,1603,24,31,35,51
"E01006564",2011,"Liverpool 023B","Total",1721,1635,9,8,46,23
"E01006565",2011,"Liverpool 029A","Total",1549,1486,4,11,28,20
