msoacode,msoaname,boroughname,population,perc_depr_households,perc_pensioncredit
E02000001,City of London 001,City of London,8072,5.2,9.9
E02000002,Barking and Dagenham 001,Barking and Dagenham,7235,31.0,27.5
E02000003,Barking and Dagenham 002,Barking and Dagenham,10732,18.9,21.2
E02000004,Barking and Dagenham 003,Barking and Dagenham,6419,15.8,21.3
E02000005,Barking and Dagenham 004,Barking and Dagenham,9056,22.9,25.3
E02000007,Barking and Dagenham 006,Barking and Dagenham,9398,33.3,28.9
E02000008,Barking and Dagenham 007,Barking and Dagenham,12108,27.6,34.8
E02000009,Barking and Dagenham 008,Barking and Dagenham,9689,24.5,32.4
E02000010,Barking and Dagenham 009,Barking and Dagenham,9182,28.5,33.2
E02000011,Barking and Dagenham 010,Barking and Dagenham,6572,17.9,18.4
E02000012,Barking and Dagenham 011,Barking and Dagenham,10661,17.4,21.4
E02000013,Barking and Dagenham 012,Barking and Dagenham,8685,28.8,30.1
E02000014,Barking and Dagenham 013,Barking and Dagenham,9659,26.6,32.6
E02000015,Barking and Dagenham 014,Barking and Dagenham,7708,33.1,36.8
E02000016,Barking and Dagenham 015,Barking and Dagenham,8470,33.2,36.5
E02000017,Barking and Dagenham 016,Barking and Dagenham,8894,18.4,28.7
E02000018,Barking and Dagenham 017,Barking and Dagenham,9229,28.8,30.6
E02000019,Barking and Dagenham 018,Barking and Dagenham,8980,25.6,27.1
E02000020,Barking and Dagenham 019,Barking and Dagenham,11016,25.7,31.9
E02000021,Barking and Dagenham 020,Barking and Dagenham,8628,24.2,26.5
E02000022,Barking and Dagenham 021,Barking and Dagenham,8555,40.7,38.1
E02000023,Barking and Dagenham 022,Barking and Dagenham,6644,33.8,31.7
E02000024,Barnet 001,Barnet,10813,6.6,9.7
E02000025,Barnet 002,Barnet,8326,12.0,15.2
E02000026,Barnet 003,Barnet,6586,9.1,11.5
E02000027,Barnet 004,Barnet,9938,20.4,21.4
E02000028,Barnet 005,Barnet,6544,11.2,11.0
E02000029,Barnet 006,Barnet,8908,12.9,18.9
E02000030,Barnet 007,Barnet,9404,9.0,11.1
E02000031,Barnet 008,Barnet,7486,8.4,12.1
E02000032,Barnet 009,Barnet,8043,7.8,13.4
E02000033,Barnet 010,Barnet,8859,17.0,18.9
