propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
1,105000,12,85000,18,1,2,25,1,0,0,1,0,0,76,1,504998,188930,0,0,0,312,0,1,0,0,3,0,0,0,1,0,1
2,84000,11,79800,31,1,1,47,0,0,0,0,0,1,58,0,505026,177041,0,0,0,312,0,1,0,0,0,0,0,0,1,0,1
3,89000,11,84550,16,1,1,30,0,0,0,0,0,1,44,1,505049,189030,0,0,0,312,0,0,0,1,23,0,1,0,0,1,0
4,136000,12,106000,31,2,4,32,2,1,0,0,0,0,127,0,505087,189238,0,0,0,312,0,0,0,1,23,0,1,0,0,1,0
5,103550,12,88000,31,1,2,38,1,0,0,1,0,0,60,1,505132,183300,0,0,0,312,0,1,0,0,39,0,0,1,0,0,1
6,148000,12,22000,71,1,3,37,1,0,0,1,0,0,76,0,505284,188760,0,0,0,312,0,0,0,1,3,0,1,0,0,1,0
7,127000,12,90000,41,1,2,37,1,0,0,1,0,0,69,0,505303,183018,0,0,0,312,0,0,0,1,16,0,1,0,0,1,0
8,158950,12,67000,71,1,3,37,1,0,0,1,0,0,109,0,505324,182683,0,0,0,312,0,0,1,0,6,0,0,1,0,1,0
9,153000,12,125000,101,2,3,37,1,0,0,1,0,0,80,0,505328,183466,0,0,0,312,0,0,1,0,24,0,1,0,0,1,0
10,114000,12,89000,101,1,2,40,1,0,0,1,0,0,70,0,505694,183325,0,0,0,312,0,1,0,0,29,0,0,1,0,0,1
11,128000,12,100000,51,1,3,36,1,0,0,1,0,0,96,1,505803,181441,1,0,1,312,0,0,1,0,28,0,1,0,0,1,0
12,171000,12,50000,51,1,3,34,1,0,0,1,0,0,96,0,505840,179749,0,0,0,312,1,0,0,0,13,0,0,1,0,1,0
13,107950,12,84000,15,1,2,25,1,0,0,1,0,0,59,1,505872,180935,0,0,0,312,0,0,1,0,10,0,0,0,1,1,0
14,115000,12,109250,23,1,2,38,1,0,0,1,0,0,70,0,506024,182654,0,0,0,312,0,0,0,1,2,0,0,1,0,1,0
15,122000,12,109800,66,1,3,22,1,0,0,1,0,0,81,1,506102,180326,0,0,0,312,0,0,1,0,14,0,0,0,1,1,0
16,97500,11,40000,101,1,3,27,1,0,0,1,0,0,95,1,506202,180477,0,0,0,312,0,0,1,0,30,0,1,0,0,0,1
17,149000,12,119000,101,1,3,45,1,0,0,1,0,0,106,0,506220,180792,0,0,0,312,0,0,1,0,14,0,0,0,1,1,0
18,59950,11,56950,14,1,1,34,0,0,0,0,0,1,46,1,506286,180175,0,0,0,312,0,1,0,0,27,0,0,0,1,0,1
