Zone_Code,Zone_Name,Population1674,Noquals,Level1,Level2,Level3,Level4
00AA,City of London,6067,607,359,634,665,3647
00AB,Barking and Dagenham,113579,44873,21654,20564,6626,11615
00AC,Barnet,228123,44806,25558,41118,24695,80907
00AD,Bexley,156172,44887,32110,35312,10759,20704
00AE,Brent,198712,48915,23913,33280,21121,60432
00AF,Bromley,212368,47093,34879,48012,19550,49598
00AG,Camden,155165,26935,11802,18600,19199,72945
00AH,Croydon,238077,54486,39675,50942,22191,56242
00AJ,Ealing,224780,49269,27257,36278,22623,77697
00AK,Enfield,197706,56048,29980,37557,17576,44358
00AL,Greenwich,153795,45157,23083,27026,12804,36439
00AM,Hackney,146865,42578,15377,20307,12696,48356
00AN,Hammersmith and Fulham,129792,23271,10103,17085,15564,58493
00AP,Haringey,162700,38122,15897,23025,16544,61590
00AQ,Harrow,150514,31159,20388,30392,16036,44297
00AR,Havering,161323,52042,32405,34055,11189,18664
00AS,Hillingdon,175645,43843,31651,36707,16943,35145
00AT,Hounslow,157406,37726,22815,27924,15493,44701
00AU,Islington,135661,34087,12494,16283,12794,54109
00AW,Kensington and Chelsea,124869,16247,7688,15996,16532,64345
00AX,Kingston upon Thames,109058,18707,13315,20116,13503,37698
00AY,Lambeth,203976,40958,20711,28643,20040,83502
00AZ,Lewisham,183135,44302,26026,31909,16645,53881
00BA,Merton,139476,27813,17294,23316,13546,49837
00BB,Newham,170268,57184,23695,27722,15166,36285
00BC,Redbridge,171300,43091,27232,34122,15670,40811
00BD,Richmond upon Thames,127541,17396,11937,20851,14589,57529
00BE,Southwark,183489,44853,20129,26855,18383,63930
00BF,Sutton,129176,30133,23517,27936,11438,27414
00BG,Tower Hamlets,143429,49138,14717,17710,13579,42495
00BH,Waltham Forest,159041,45284,24337,27995,13596,38140
00BJ,Wandsworth,204647,33418,16484,27288,22718,96704
00BK,Westminster,146477,23501,10746,18645,18151,69957
