Country Name,Country Code,Series Name,Series Code,v_1990,v_2000,v_2010,v_2015,v_2020,income_group,GPIA_2018
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6974.076379,8510.359279,13141.12026,12071.81418,11452.22662,Lower middle income,0.86159
Algeria,DZA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.353647633,0.305635197,0.242320056,0.327370922,0.324672528,Lower middle income,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25731.16492,39360.43209,47929.44346,45900.70303,50682.75956,High income,0.96138
Bahrain,BHR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.806492954,0.566963904,0.446381285,0.487696778,0.433617033,High income,
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,4144.97437,5020.17079,Lower middle income,
Djibouti,DJI,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,0.107062768,0.078150563,Lower middle income,..
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3639.370983,5581.587598,9033.344405,10890.24179,12661.1812,Lower middle income,0.85634
"Egypt, Arab Rep.",EGY,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.421396512,0.287711619,0.254146288,0.212625435,0.154892544,Lower middle income,
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7592.106748,10871.13341,18348.51528,13828.43857,15240.77291,Lower middle income,0.89414
"Iran, Islamic Rep.",IRN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.468545395,0.477805278,0.391302786,0.529762786,0.463450992,Lower middle income,
Iraq,IRQ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,10538.5354,12098.90311,9198.737829,9343.734411,Upper middle income,0.8761
